Study programme,Subject,Semester,Subject type,Student groups
Informacioni sistemi i tehnologije,Matematika 1,WINTER,MANDATORY,"A1,A2,A3,A4"
Informacioni sistemi i tehnologije,Ekonomija,WINTER,MANDATORY,"A1,A2,A3,A4"
Informacioni sistemi i tehnologije,Menadžment ,WINTER,MANDATORY,"A1,A2,A3,A4"
Informacioni sistemi i tehnologije,Osnove informaciono-komunikacionih tehnologija,WINTER,MANDATORY,"A1,A2,A3,A4"
Informacioni sistemi i tehnologije,Socilogija,WINTER,OPTIONAL,"A1,A2,A3,A4"
Informacioni sistemi i tehnologije,Psihologija,WINTER,OPTIONAL,"A1,A2,A3,A4"
Informacioni sistemi i tehnologije,Engleski jezik struke 1,WINTER,OPTIONAL,"A1,A2,A3,A4"
Informacioni sistemi i tehnologije,Francuski jezik struke 1,WINTER,OPTIONAL,"A1,A2,A3,A4"
Informacioni sistemi i tehnologije,Matematika 2,SUMMER,MANDATORY,"A1,A2,A3,A4"
Informacioni sistemi i tehnologije,Programiranje 1,SUMMER,MANDATORY,"A1,A2,A3,A4"
Informacioni sistemi i tehnologije,Osnovi organizacije,SUMMER,MANDATORY,"A1,A2,A3,A4"
Informacioni sistemi i tehnologije,Proizvodni sistemi,SUMMER,MANDATORY,"A1,A2,A3,A4"
Informacioni sistemi i tehnologije,Uvod u informacione sisteme,SUMMER,MANDATORY,"A1,A2,A3,A4"