Day of week,Start time,End time
MONDAY,08:15:00,10:00:00
MONDAY,10:15:00,12:00:00
MONDAY,12:15:00,14:00:00
MONDAY,14:15:00,16:00:00
MONDAY,16:15:00,18:00:00
MONDAY,18:15:00,20:00:00
TUESDAY,08:15:00,10:00:00
TUESDAY,10:15:00,12:00:00
TUESDAY,12:15:00,14:00:00
TUESDAY,14:15:00,16:00:00
TUESDAY,16:15:00,18:00:00
TUESDAY,18:15:00,20:00:00
WEDNESDAY,08:15:00,10:00:00
WEDNESDAY,10:15:00,12:00:00
WEDNESDAY,12:15:00,14:00:00
WEDNESDAY,14:15:00,16:00:00
WEDNESDAY,16:15:00,18:00:00
WEDNESDAY,18:15:00,20:00:00
THURSDAY,08:15:00,10:00:00
THURSDAY,10:15:00,12:00:00
THURSDAY,12:15:00,14:00:00
THURSDAY,14:15:00,16:00:00
THURSDAY,16:15:00,18:00:00
THURSDAY,18:15:00,20:00:00
FRIDAY,08:15:00,10:00:00
FRIDAY,10:15:00,12:00:00
FRIDAY,12:15:00,14:00:00
FRIDAY,14:15:00,16:00:00
FRIDAY,16:15:00,18:00:00
FRIDAY,18:15:00,20:00:00